"TrackNum2_primary","n"
"1500678",22
"1500679",27
"1500680",23
"1500684",22
"1500685",23
"1500687",34
"1500688",25
"1500689",22
"1500691",7
"1500692",22
"1500694",3
"1500696",22
"1500697",27
"1500698",9
"1500700",28
"1500701",22
"1500703",22
"1500704",28
"1500706",22
"1500708",8
"1500710",22
"1500713",22
"1500714",22
"1500715",23
"1500716",22
"1500720",22
"1500724",21
"1500729",9
"1500733",5
"1500736",22
"1500737",7
"1500741",22
"1500745",22
"1500752",22
"1500756",22
"1500760",22
"1500788",22
"1600000",27
"1600001",22
"1600003",3
"1600004",23
"1600005",23
"1600008",8
"1600009",22
"1600011",9
"1600012",22
"1600013",22
"1600016",8
"1600018",25
"1600019",9
"1600022",22
"1600024",22
"1600026",22
"1600028",20
"1600029",22
"1600030",9
"1600033",6
"1600034",31
"1600035",14
"1600036",8
"1600038",28
"1600039",8
"1600041",35
"1600042",17
"1600044",9
"1600045",8
"1600046",22
"1600047",9
"1600049",22
"1600050",8
"1600053",8
"1600054",22
"1600059",22
"1600060",22
"1600061",3
"1600063",13
"1600065",1
"1600066",8
"1600067",22
"1600068",9
"1600069",22
"1600075",26
"1600079",3
"1600080",22
"1600081",3
"1600082",24
"1600083",22
"1600084",23
"1600085",21
"1600087",22
"1600088",28
"1600089",11
"1600092",13
"1600094",27
"1600096",8
"1600098",22
"1600100",22
"1600102",9
"1600106",3
"1600107",27
"1600110",22
"1600111",24
"1600113",8
"1600114",3
"1600115",8
"1600116",1
"1600118",7
"1600119",30
"1600121",9
"1600122",6
"1600124",22
"1600125",22
"1600126",28
"1600128",8
"1600130",3
"1600131",8
"1600132",3
"1600133",22
"1600134",9
"1600139",8
"1600142",6
"1600144",13
"1600145",3
"1600147",22
"1600149",7
"1600154",8
"1600155",24
"1600156",9
"1600157",22
"1600158",7
"1600163",3
"1600167",3
"1600169",27
"1600171",6
"1600174",22
"1600175",1
"1600177",3
"1600178",27
"1600180",9
"1600182",1
"1600183",8
"1600184",21
"1600186",8
"1600187",23
"1600189",22
"1600190",1
"1600192",22
"1600196",23
"1600198",23
"1600199",8
"1600201",22
"1600202",1
"1600203",18
"1600204",22
"1600205",22
"1600206",25
"1600207",12
"1600208",24
"1600209",22
"1600210",25
"1600211",3
"1600213",8
"1600215",18
"1600216",8
"1600217",18
"1600221",8
"1600224",33
"1600227",20
"1600228",22
"1600229",8
"1600231",8
"1600234",9
"1600238",3
"1600240",22
"1600241",24
"1600245",22
"1600247",27
"1600248",6
"1600249",22
"1600250",8
