"Long","n"
-111.3800071,1
-111.378162,1
-111.374703,1
-111.371615,1
-111.357283,2
-111.3570611,1
-111.356782,1
-111.3562971,1
-111.3521612,1
-111.350742,1
-111.348063,1
-111.343482,1
-111.340478,6
-111.34,2
-111.33706,1
-111.337055,1
-111.337051,1
-111.33658,2
-111.330763,1
-111.326459,1
-111.325833,1
-111.321067,3
-111.3199721,1
-111.318575,1
-111.316233,1
-111.309956,1
-111.30966,1
-111.309557,1
-111.309231,2
-111.309156,1
-111.30902,1
-111.308611,1
-111.307072,1
-111.30367,1
-111.3,1
-111.2992837,1
-111.2992496,3
-111.295464,1
-111.29454,1
-111.2842,2
-111.283563,1
-111.282846,1
-111.2822,1
-111.281733,1
-111.28167,1
-111.2812149,1
-111.281101,1
-111.276632,1
-111.2766,1
-111.274847,1
-111.2746892,2
-111.274601,2
-111.274566,1
-111.2742,1
-111.274047,1
-111.2730036,2
-111.272175,1
-111.2704,1
-111.269444,1
-111.266028,1
-111.264973,1
-111.261141,1
-111.2610527,1
-111.25964,1
-111.259435,1
-111.25923,2
-111.2582307,3
-111.257164,1
-111.25708,1
-111.2531485,1
-111.252777,1
-111.252117,1
-111.251341,1
-111.251293,1
-111.250219,1
-111.249199,1
-111.2491929,1
-111.24919,1
-111.248226,1
-111.245349,1
-111.2452,1
-111.244244,1
-111.243482,1
-111.2424,1
-111.241239,1
-111.241133,1
-111.240897,1
-111.2408333,1
-111.240764,1
-111.240555,1
-111.23951,1
-111.239366,1
-111.238715,1
-111.235965,2
-111.235931,1
-111.23593,1
-111.23582,1
-111.2351,1
-111.23275,1
-111.232569,1
-111.2322517,1
-111.232227,1
-111.23154,1
-111.231389,1
-111.229121,1
-111.228667,1
-111.22864,1
-111.228406,1
-111.227276,2
-111.227225,1
-111.22395,1
-111.222995,1
-111.222891,1
-111.2225222,2
-111.220569,1
-111.220268,1
-111.219167,1
-111.219,1
-111.2165531,2
-111.210846,1
-111.210833,1
-111.210639,2
-111.208779,1
-111.207955,2
-111.20789,2
-111.206959,1
-111.206912,1
-111.20682,2
-111.206816,1
-111.206715,1
-111.206688,1
-111.206611,1
-111.20573,1
-111.205712,1
-111.204416,1
-111.20373,1
-111.20362,1
-111.202428,1
-111.201162,1
-111.20083,1
-111.19985,1
-111.19955,1
-111.199222,1
-111.199137,1
-111.1976,1
-111.1974868,1
-111.1969562,1
-111.1969195,1
-111.195109,1
-111.19469,1
-111.194135,1
-111.19409,6
-111.19387,1
-111.192487,1
-111.191667,1
-111.191547,1
-111.19092,1
-111.190715,1
-111.1906826,1
-111.189563,1
-111.189561,1
-111.189545,1
-111.189467,1
-111.189276,1
-111.189259,1
-111.189258,1
-111.188725,1
-111.18836,1
-111.188041,1
-111.187795,1
-111.187622,1
-111.187275,1
-111.187,1
-111.186073,1
-111.1847,1
-111.18399,2
-111.18341,1
-111.182411,1
-111.181313,1
-111.178917,1
-111.178908,1
-111.1785,1
-111.178062,1
-111.177792,1
-111.175879,1
-111.175863,1
-111.17578,1
-111.17573,1
-111.1755061,2
-111.17535,1
-111.1751045,1
-111.174269,1
-111.174064,2
-111.173462,1
-111.172975,3
-111.172283,1
-111.1702382,1
-111.16939,1
-111.169354,1
-111.169279,1
-111.16904,1
-111.167802,1
-111.167446,1
-111.166606,1
-111.166409,1
-111.1662,1
-111.1659771,1
-111.16258,1
-111.15962,1
-111.15926,1
-111.154956,1
-111.1539,1
-111.150592,1
-111.150265,1
-111.149611,1
-111.149371,1
-111.14876,1
-111.147807,1
-111.146389,1
-111.146078,1
-111.145678,2
-111.145652,1
-111.144163,1
-111.13832,1
-111.135595,1
-111.134234,1
-111.134233,1
-111.133761,1
-111.132165,1
-111.129986,1
-111.125613,1
-111.1252751,1
-111.124673,1
-111.122828,1
-111.122411,1
-111.122357,1
-111.122338,1
-111.122241,1
-111.12219,1
-111.12193,1
-111.12162,1
-111.120088,1
-111.12,1
-111.118727,1
-111.118551,1
-111.11769,1
-111.11744,1
-111.114721,1
-111.114601,1
-111.114445,3
-111.113414,1
-111.1131943,1
-111.111586,1
-111.1111861,1
-111.110611,1
-111.109472,1
-111.10944,1
-111.109328,1
-111.108305,4
-111.107603,1
-111.107602,1
-111.107413,1
-111.106871,1
-111.106209,1
-111.1046,1
-111.1045,1
-111.104162,1
-111.103827,1
-111.1034587,2
-111.1034326,1
-111.1034088,1
-111.1033,1
-111.101376,1
-111.101274,1
-111.101266,1
-111.10103,1
-111.100979,1
-111.100559,1
-111.100541,1
-111.10039,1
-111.10034,1
-111.10021,1
-111.0997,2
-111.099209,1
-111.098,2
-111.097976,4
-111.09787,1
-111.097609,1
-111.097186,4
-111.0971816,1
-111.0971186,1
-111.097013,1
-111.09611,1
-111.09589,1
-111.095615,1
-111.095415,1
-111.095277,2
-111.095252,1
-111.095037,1
-111.094471,1
-111.0944444,1
-111.0943587,1
-111.094177,1
-111.094037,1
-111.093889,1
-111.0934469,1
-111.092847,1
-111.092414,1
-111.091583,1
-111.091561,1
-111.091239,1
-111.091223,1
-111.090293,1
-111.089866,1
-111.089722,1
-111.08968,1
-111.089677,1
-111.089665,1
-111.089276,1
-111.088729,1
-111.087667,1
-111.087555,1
-111.087437,1
-111.087276,1
-111.087201,1
-111.087095,1
-111.086952,1
-111.086909,1
-111.0867877,1
-111.086701,1
-111.086569,1
-111.086525,1
-111.086129,1
-111.086114,1
-111.086072,1
-111.085924,1
-111.085834,1
-111.08579,1
-111.085747,1
-111.08568,1
-111.08565,1
-111.085423,1
-111.085161,1
-111.084953,1
-111.084837,1
-111.084549,1
-111.083006,1
-111.08242,1
-111.08134,1
-111.077623,1
-111.075477,1
-111.075141,1
-111.075021,1
-111.07474,1
-111.074672,1
-111.074227,1
-111.07405,1
-111.073822,1
-111.073542,1
-111.073133,1
-111.0730698,1
-111.072554,1
