"BatchID","n"
"R109059",2
"R109178",2
"R109180",3
"R109272",2
"R109315",2
"R109338",3
"R109341",1
"R109346",4
"R109347",1
"R109393",1
"R109570",2
"R109587",2
"R109605",1
"R109694",1
"R109804",2
"R110456",1
"R110492",2
"R110511",2
"R110527",1
"R110550",2
"R110572",2
"R110577",3
"R110583",2
"R110588",1
"R110643",4
"R110706",2
"R110757",13
"R110793",2
"R110797",2
"R110825",1
"R110865",1
"R110882",5
"R110898",2
"R110904",2
"R110910",5
"R110913",2
"R110930",2
"R110941",1
"R110955",2
"R110962",2
"R110972",2
"R110998",4
"R111006",9
"R111017",1
"R111457",2
"R111462",2
"R111484",1
"R111489",2
"R111490",1
"R111524",5
"R111554",1
"R111637",4
"R111975",1
"R111999",2
"R112005",2
"R112045",1
"R112205",2
"R112226",2
"R112231",1
"R112247",1
"R112335",1
"R112362",1
"R112778",6
"R112797",6
"R112805",1
"R112812",3
"R112836",2
"R112919",3
"R112978",1
"R112984",3
"R112998",2
"R113057",2
"R113094",2
"R113105",1
"R113123",2
"R113142",3
"R113144",2
"R113158",4
"R113259",8
"R113267",1
"R113305",1
"R113560",2
"R113594",1
"R113600",2
"R113610",2
"R113614",1
"R113634",2
"R113645",2
"R113669",2
"R113671",1
"R113685",2
"R113686",1
"R113709",10
"R113710",1
"R113714",1
"R113725",2
"R113728",10
"R113745",1
"R113747",1
"R113752",2
"R113846",6
"R113862",6
"R113879",2
"R113895",11
"R113901",5
"R113911",4
"R113919",1
"R113927",4
"R113939",1
"R113941",10
"R113978",8
"R113980",2
"R113982",2
"R114002",3
"R114010",1
"R114040",4
"R114041",1
"R114079",1
"R114248",2
"R114272",3
"R114304",2
"R114316",4
"R114332",3
"R114335",1
"R114376",1
"R114381",2
"R114383",5
"R114409",2
"R114412",2
"R114426",2
"R114433",2
"R114451",4
"R114459",1
"R114465",3
"R114487",6
"R114574",2
"R114598",1
"R114607",2
"R114613",2
"R114622",2
"R114623",2
"R114636",2
"R114644",2
"R114645",1
"R114686",4
"R114711",9
"R114712",1
"R114726",3
"R114735",2
"R114743",1
"R114755",4
"R114758",2
"R114776",4
"R114781",4
"R114794",2
"R114812",2
"R114824",2
"R114834",1
"R114860",2
"R114861",1
"R114984",4
"R114986",2
"R115008",4
"R115019",4
"R115047",2
"R115149",3
"R115177",2
"R115191",1
"R115221",1
"R115226",4
"R115238",2
"R115252",2
"R115253",1
"R115308",2
"R115325",3
"R115331",1
"R115374",2
"R115399",4
"R115410",2
"R115422",1
"R115442",1
"R115627",1
"R115653",2
"R115666",1
"R115672",1
"R115675",5
"R115712",2
"R115744",4
"R115770",1
"R116238",2
"R116260",2
"R116262",1
"R116276",1
"R116344",3
"R116371",2
"R116384",2
"R116389",1
"R116493",4
"R116496",2
"R116537",2
"R116539",1
"R116547",5
"R116562",2
"R116563",2
"R116575",1
"R116597",4
"R116602",1
"R116614",2
"R116649",3
"R116666",1
"R116672",2
"R116699",1
"R116700",1
"R117088",4
"R117109",4
"R117153",2
"R117163",5
"R117175",1
"R117182",2
"R117186",5
"R117218",1
"R117255",11
"R117299",2
"R117349",4
"R117365",4
"R117401",2
"R117448",2
"R117461",2
"R117511",1
"R117595",3
"R117612",2
"R117623",1
"R117684",4
"R117687",6
"R117715",1
"R117741",2
"R117759",2
"R117832",6
"R117879",2
"R117898",5
"R117924",3
"R117947",1
"R117961",2
"R118032",2
"R118193",1
"R118254",2
"R118440",2
"R118449",3
"R118484",1
"R118582",2
"R118608",2
"R118636",5
"R118657",2
"R118661",1
"R118662",1
"R118700",2
"R118743",1
"R118922",3
"R118939",2
"R118955",1
"R119003",2
"R119027",2
"R119043",1
"R119068",1
"R119074",2
"R119079",5
"R119084",5
"R119091",1
"R119150",1
"R119178",4
"R119183",1
"R119187",2
"R119192",8
"R119208",1
"R119213",2
"R119218",1
"R119241",4
"R119242",1
"R119339",1
"R119555",2
"R119557",2
"R119575",1
"R119585",1
"R119589",4
"R119615",5
"R119616",1
"R119655",2
"R119757",1
"R119988",3
"R120007",2
"R120086",1
"R120617",1
"R120649",2
"R120662",2
"R120685",1
"R120792",2
"R120945",2
"R121006",2
"R121037",1
"R121103",6
"R121253",3
"R121271",1
"R121272",2
"R121287",2
"R121359",5
"R121423",1
"R121435",4
"R121558",2
"R121587",1
"R121591",1
"R121599",1
"R121607",2
"R121618",2
"R121816",6
"R121821",4
"R121822",1
"R121875",1
"R122288",2
"R122309",2
"R122336",1
"R122397",1
"R122403",2
"R122481",4
"R122494",3
"R122514",2
"R123202",4
"R123211",6
"R123221",2
"R123245",2
"R123255",4
"R123279",6
"R123289",2
"R123329",1
"R123343",4
"R123377",2
"R123380",3
"R123386",4
"R123387",2
"R123408",1
"R123452",2
"R123471",2
"R123475",1
"R123499",1
"R123519",10
"R123522",25
"R123529",5
"R123550",4
"R123565",3
"R123588",4
"R123591",10
"R123603",4
"R123623",8
"R123637",4
"R123645",2
"R123655",2
"R123657",4
"R123659",2
"R123682",2
"R123736",2
"R123737",4
"R123741",5
"R123750",20
"R123767",4
"R123771",4
"R123773",2
"R123777",17
"R123781",3
"R123796",1
"R123811",11
"R123812",1
"R123819",4
"R123827",1
"R123896",2
"R123907",19
"R123919",5
"R123924",8
"R123938",8
"R123959",2
"R123964",3
"R123965",8
"R123976",1
"R124023",9
"R124034",1
"R124044",4
"R124047",3
"R124051",16
"R124074",10
"R124082",4
"R124084",22
"R124101",20
"R124113",4
"R124118",2
"R124129",2
"R124135",8
"R124136",1
"R124139",12
"R124142",9
"R124158",7
"R124170",1
"R124182",5
"R124184",3
"R124187",4
"R124197",6
"R124207",2
"R124209",2
"R124219",5
"R124234",4
"R124236",2
"R124246",1
"R124252",10
"R124254",23
"R124256",5
"R124257",3
"R124258",1
"R124280",1
"R124292",2
"R124309",2
"R124330",6
"R124342",15
"R124355",3
"R124394",15
"R124396",7
"R124401",3
"R124461",2
"R124466",4
"R124468",4
"R124487",2
"R124493",5
"R124518",2
"R124521",1
"R124525",2
"R124531",1
"R124553",2
"R124600",4
"R124601",2
"R124625",6
"R124640",2
"R124641",3
"R124661",6
"R124671",12
"R124674",1
"R124682",4
"R124694",4
"R124710",2
"R124715",5
"R124771",2
"R124781",10
"R124795",1
"R124800",5
"R124801",1
"R124825",3
"R124838",1
"R124841",1
"R124942",2
"R125083",10
"R125091",21
"R125098",3
"R125147",3
"R125165",6
"R125192",15
"R125273",2
"R125290",2
"R125300",22
"R125307",3
"R125313",5
"R125346",4
"R125347",1
"R125349",2
"R125353",8
"R125356",4
"R125362",3
"R125378",5
"R125383",3
"R125389",2
"R125395",5
"R125398",2
"R125448",5
"R125466",1
"R125467",2
"R125472",4
"R125475",11
"R125483",1
"R125489",2
"R125500",2
"R125516",5
"R125541",4
"R125552",19
"R125559",1
"R125619",4
"R125631",1
"R125634",5
"R125657",2
"R125658",2
"R125664",5
"R125673",6
"R125705",1
"R125714",2
"R125722",1
"R125747",5
"R125755",2
"R125759",2
"R125760",1
"R125786",1
"R125795",4
"R125808",4
"R125811",6
"R125845",2
"R125848",2
"R125852",2
"R125853",2
"R125887",1
"R125904",1
"R125929",1
"R125941",5
"R125987",3
"R126056",2
"R126069",3
"R126089",1
"R126116",4
"R126237",2
"R126254",1
"R126276",5
"R126282",5
"R126290",2
"R126298",1
"R126311",2
"R126344",2
"R126370",2
"R126427",5
"R126436",9
"R126437",1
"R126474",3
"R126525",1
"R126533",1
"R126697",2
"R126701",5
"R126713",1
"R126765",1
"R126769",2
"R126784",3
"R126789",5
"R126826",2
"R126989",2
"R126997",2
"R127014",2
"R127030",10
"R127049",2
"R127054",2
"R127063",2
"R127086",2
"R127089",2
"R127090",5
"R127102",2
"R127105",4
"R127114",2
"R127129",1
"R127131",3
"R127147",3
"R127175",2
"R127197",2
"R127198",4
"R127199",1
"R127202",4
"R127210",4
"R127233",2
"R127274",1
"R127295",6
"R127302",1
"R127303",2
"R127371",2
"R127393",2
"R127401",6
"R127405",3
"R127442",1
"R127446",2
"R127477",1
"R127489",5
"R127512",7
"R127513",1
"R127619",1
"R127653",1
"R127659",2
"R127664",5
"R128272",2
"R128277",2
"R128291",1
"R128314",3
"R128327",3
"R128341",4
"R128343",4
"R128345",1
"R128375",1
"R128395",5
"R128406",1
"R128416",6
"R128419",2
"R128426",3
"R128480",2
"R128488",5
"R128498",1
"R128525",3
"R128528",5
"R128537",2
"R128541",1
"R128640",1
"R128676",1
"R128735",2
"R128780",3
"R128781",2
"R128785",3
"R128812",4
"R128835",5
"R128863",2
"R128868",4
"R128963",5
"R128976",2
"R128996",6
"R128997",2
"R129003",5
"R129006",6
"R129053",5
"R129056",1
"R129065",1
"R129066",1
"R129072",3
"R129142",3
"R129176",2
"R129195",2
"R129198",2
"R129207",1
"R129250",3
"R129285",5
"R129315",2
"R129406",1
"R129455",2
"R129586",2
"R129599",5
"R129647",3
"R129654",5
"R129656",2
"R129756",2
"R129790",5
"R129791",2
"R129817",2
"R130055",2
"R130090",3
"R130091",3
"R130099",1
"R130111",8
"R130140",7
"R130150",1
"R130175",1
"R130176",2
"R130219",3
"R130225",1
"R130230",2
"R130479",2
"R130492",1
"R130505",2
"R130514",3
"R130558",2
"R130571",5
"R130578",4
"R130591",1
"R130617",3
"R130624",1
"R130652",2
"R130750",4
"R130763",10
"R130786",7
"R130800",13
"R130802",1
"R130816",6
"R130826",2
"R130897",2
