"SampleID","n"
"B15120874-001",22
"B15120999-001",22
"B15121039-001",22
"B15121098-001",22
"B15121099-001",23
"B15121100-001",25
"B15121117-001",23
"B15121224-001",22
"B15121478-001",21
"B15121492-001",22
"B15121589-001",3
"B15121655-001",22
"B15121731-001",28
"B15121999-001",20
"B15122000-001",3
"B15122011-001",22
"B15122012-001",20
"B15122015-001",20
"B16010027-001",7
"B16010055-001",22
"B16010057-001",8
"B16010059-001",22
"B16010114-001",22
"B16010116-001",22
"B16010218-001",22
"B16010257-001",22
"B16010370-001",27
"B16010370-002",1
"B16010600-001",27
"B16010602-001",3
"B16010611-001",27
"B16010715-001",8
"B16010749-001",23
"B16010763-001",26
"B16010848-001",7
"B16011082-001",22
"B16011216-001",27
"B16011224-001",3
"B16011284-001",22
"B16011359-001",22
"B16011570-001",9
"B16011571-001",23
"B16011572-001",24
"B16011601-001",1
"B16011688-001",9
"B16011734-001",22
"B16011792-001",7
"B16011792-002",2
"B16011825-001",24
"B16011827-001",24
"B16011966-001",8
"B16020058-001",22
"B16020197-001",22
"B16020197-002",22
"B16020215-001",22
"B16020283-001",28
"B16020333-001",23
"B16020364-001",22
"B16020367-001",22
"B16020379-001",22
"B16020433-001",22
"B16020479-001",22
"B16020614-001",1
"B16020615-001",8
"B16020617-001",3
"B16020633-001",22
"B16020639-001",25
"B16020646-001",35
"B16020657-001",25
"B16020752-001",8
"B16020758-001",22
"B16020770-001",3
"B16020773-001",23
"B16020784-001",22
"B16020784-002",8
"B16020974-001",7
"B16020980-001",21
"B16020983-001",21
"B16021140-001",27
"B16021261-001",2
"B16021274-001",22
"B16021275-001",11
"B16021277-001",8
"B16021344-001",22
"B16021411-001",22
"B16021413-001",22
"B16021460-001",8
"B16021562-001",22
"B16021594-001",22
"B16021597-001",13
"B16021685-001",1
"B16021705-001",8
"B16021746-001",27
"B16021999-001",14
"B16022000-001",20
"B16022000-002",3
"B16022002-001",5
"B16030029-001",3
"B16030115-001",34
"B16030179-001",22
"B16030245-001",23
"B16030282-001",25
"B16030282-002",2
"B16030313-001",1
"B16030313-002",1
"B16030330-001",27
"B16030578-001",8
"B16030580-001",24
"B16030582-001",22
"B16030639-001",23
"B16030729-001",22
"B16030760-001",8
"B16030762-001",8
"B16030769-001",22
"B16030807-001",22
"B16030811-001",22
"B16030914-001",22
"B16030917-001",24
"B16031048-001",3
"B16031069-001",22
"B16031166-001",34
"B16031184-001",22
"B16031209-001",27
"B16031209-002",27
"B16031217-001",27
"B16031219-001",22
"B16031297-001",3
"B16031326-001",22
"B16031334-001",23
"B16031341-001",7
"B16031341-002",2
"B16031386-001",3
"B16031429-001",27
"B16031430-001",22
"B16031570-001",22
"B16031748-001",10
"B16031752-001",8
"B16031755-001",22
"B16031897-001",22
"B16032009-001",22
"B16032009-002",22
"B16032013-001",28
"B16032023-001",22
"B16032126-001",20
"B16032128-001",7
"B16032181-001",1
"B16032183-001",7
"B16032183-002",7
"B16032183-003",7
"B16032188-001",22
"B16032191-001",3
"B16032256-001",11
"B16032256-002",2
"B16032263-001",25
"B16032270-001",22
"B16032321-001",8
"B16032347-001",11
"B16032347-002",2
"B16032349-001",9
"B16032350-001",24
"B16032363-001",28
"B16040003-001",3
"B16040127-001",20
"B16040127-002",2
"B16040131-001",20
"B16040137-001",23
"B16040138-001",23
"B16040170-001",22
"B16040189-001",22
