"Lat","n"
45.468016,1
45.471017,1
45.474253,1
45.4774761,2
45.480066,1
45.480458,1
45.482695,1
45.483417,1
45.483488,1
45.48395,1
45.485937,1
45.486029,2
45.4869098,1
45.490072,1
45.4923083,1
45.493097,1
45.4931,1
45.4944,1
45.497778,1
45.499395,1
45.499855,1
45.50114,1
45.5011407,2
45.502355,1
45.502361,1
45.5026,1
45.503553,1
45.507194,1
45.50785,1
45.5108,1
45.514916,1
45.514918,1
45.514998,1
45.5150543,1
45.515133,1
45.515811,1
45.5202,1
45.520329,1
45.521678,1
45.52361,1
45.525757,2
45.526423,1
45.5294163,1
45.531222,1
45.5316554,1
45.53446,2
45.53723,1
45.5435,1
45.543981,1
45.54554,1
45.546506,1
45.546767,1
45.5468,1
45.547481,1
45.54812,1
45.55274,1
45.552806,1
45.553215,1
45.553906,1
45.5545,2
45.55529,2
45.555333,1
45.55567,1
45.55635,1
45.557636,1
45.55858,1
45.55875,1
45.559853,1
45.560327,1
45.560475,1
45.561111,1
45.561891,6
45.56205,1
45.563303,1
45.563611,2
45.566293,1
45.566533,3
45.567039,1
45.567058,1
45.568658,1
45.568844,1
45.568912,1
45.569033,1
45.569775,1
45.571005,1
45.5712,1
45.571921,1
45.572157,1
45.5729,1
45.573027,2
45.5749,1
45.575833,1
45.576506,1
45.57657,1
45.5766209,1
45.57825,1
45.579046,1
45.580063,1
45.581199,1
45.581248,1
45.581272,1
45.583026,1
45.58303,1
45.584295,1
45.584589,6
45.585107,1
45.585155,1
45.585203,5
45.58523889,1
45.586489,1
45.586596,1
45.586627,1
45.586924,1
45.5881,1
45.588585,1
45.588685,1
45.589718,1
45.589778,1
45.590277,1
45.590527,1
45.5908,1
45.591187,1
45.591385,1
45.591703,1
45.594405,1
45.594787,1
45.594984,1
45.595242,1
45.596111,1
45.596217,1
45.5965,1
45.59706,1
45.597217,1
45.5978,1
45.598971,1
45.598977,1
45.599123,1
45.599383,1
45.599399,1
45.59956,1
45.6,1
45.600249,1
45.600536,1
45.601387,1
45.601643,1
45.601725,1
45.601841,1
45.6019,1
45.602305,1
45.602945,1
45.603659,1
45.603812,1
45.604296,1
45.604306,1
45.60431,1
45.604316,1
45.60435,1
45.6045,1
45.604593,1
45.604711,1
45.604752,1
45.604778,1
45.604935,1
45.60497,1
45.605267,1
45.605286,1
45.605641,1
45.6057097,1
45.605821,1
45.606222,1
45.60647,1
45.607235,1
45.609725,1
45.610144,1
45.611104,1
45.61142,1
45.612,1
45.612018,1
45.612117,1
45.612121,1
45.61218,1
45.612587,1
45.612718,1
45.613681,1
45.61391,1
45.614611,1
